Tablero inicial,Tamaño del tablero,Tablero solución,Número de conflicos,Cantidad de Movimientos,Tiempo (segundos),Historial de reinas amenazadas
"[3, 3, 2, 0]",4,"[1, 3, 0, 2]",0,110,0,"[6, 6, 10, 6, 6, 10, 10, 10, 10, 10, 10, 10, 8, 10, 6, 4, 10, 10, 10, 8, 4, 8, 4, 4, 6, 6, 6, 10, 10, 8, 2, 6, 8, 8, 4, 6, 6, 2, 6, 4, 8, 4, 4, 4, 4, 4, 8, 8, 8, 10, 8, 6, 4, 4, 4, 4, 4, 2, 2, 2, 6, 6, 6, 10, 10, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
"[1, 3, 0, 1]",4,"[1, 3, 0, 2]",0,100,0,"[6, 10, 8, 4, 4, 6, 6, 2, 6, 4, 4, 6, 8, 8, 10, 6, 8, 6, 2, 4, 4, 8, 6, 8, 6, 4, 10, 10, 6, 2, 4, 6, 2, 6, 6, 6, 6, 6, 6, 4, 6, 4, 4, 6, 6, 6, 2, 4, 8, 8, 4, 4, 2, 2, 6, 6, 6, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
"[1, 3, 0, 0]",4,"[2, 0, 3, 1]",0,43,"0,0009980201721","[2, 6, 6, 6, 8, 6, 6, 6, 8, 6, 8, 8, 8, 6, 8, 6, 6, 8, 6, 8, 12, 8, 4, 4, 2, 6, 6, 10, 8, 8, 8, 4, 8, 8, 8, 6, 4, 2, 4, 8, 6, 2, 0]"
"[3, 1, 2, 2]",4,"[1, 3, 0, 2]",0,38,0,"[4, 6, 8, 8, 12, 8, 8, 8, 10, 8, 8, 10, 10, 6, 4, 4, 4, 6, 6, 4, 6, 10, 6, 4, 6, 2, 4, 4, 4, 4, 8, 6, 6, 2, 2, 6, 6, 0]"
"[1, 2, 0, 0]",4,"[1, 3, 0, 2]",0,3,0,"[6, 2, 0]"
"[1, 1, 3, 3]",4,"[2, 0, 3, 1]",0,53,0,"[8, 8, 6, 4, 4, 8, 4, 4, 4, 4, 4, 10, 4, 4, 6, 8, 8, 8, 6, 2, 6, 6, 10, 10, 10, 6, 2, 4, 4, 4, 10, 6, 4, 4, 2, 2, 2, 6, 2, 6, 4, 6, 2, 6, 4, 6, 6, 4, 4, 2, 2, 2, 0]"
"[3, 0, 1, 2]",4,"[2, 0, 3, 1]",0,79,0,"[8, 6, 2, 6, 8, 8, 4, 2, 2, 6, 8, 8, 8, 8, 4, 8, 6, 4, 4, 8, 6, 8, 6, 10, 6, 8, 4, 4, 8, 10, 6, 2, 2, 4, 4, 4, 4, 8, 10, 12, 8, 4, 6, 8, 8, 8, 8, 10, 4, 8, 6, 6, 6, 2, 4, 4, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 0]"
"[0, 2, 0, 0]",4,"[2, 0, 3, 1]",0,66,"0,0009973049164","[8, 8, 8, 8, 6, 2, 6, 8, 4, 8, 8, 8, 8, 6, 10, 8, 4, 8, 8, 8, 4, 8, 6, 8, 8, 6, 8, 8, 8, 8, 4, 2, 6, 6, 4, 6, 6, 4, 6, 2, 2, 6, 6, 6, 6, 2, 2, 4, 6, 8, 6, 2, 6, 6, 8, 6, 6, 8, 8, 8, 6, 4, 4, 6, 4, 0]"
"[2, 1, 1, 1]",4,"[2, 0, 3, 1]",0,95,0,"[8, 6, 10, 10, 6, 10, 12, 8, 10, 6, 10, 10, 6, 6, 4, 6, 4, 8, 8, 6, 8, 8, 4, 2, 4, 10, 6, 6, 8, 8, 10, 4, 4, 8, 10, 6, 6, 2, 2, 2, 6, 10, 6, 8, 4, 8, 6, 8, 6, 8, 10, 4, 4, 4, 8, 8, 4, 4, 4, 4, 8, 8, 4, 4, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
"[2, 2, 1, 1]",4,"[2, 0, 3, 1]",0,110,"0,000997543335","[6, 10, 10, 8, 4, 8, 4, 2, 6, 6, 6, 8, 8, 6, 8, 8, 8, 10, 10, 12, 8, 8, 8, 10, 6, 2, 2, 8, 4, 6, 10, 6, 4, 4, 8, 6, 10, 10, 10, 10, 10, 4, 6, 2, 2, 2, 6, 6, 8, 6, 8, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
"[2, 5, 1, 2, 5, 1, 7, 0]",8,"[7, 5, 3, 0, 6, 4, 2, 1]",2,1000,"0,01994729042","[12, 14, 14, 20, 18, 18, 18, 14, 14, 10, 8, 8, 8, 10, 8, 6, 6, 8, 8, 12, 14, 14, 12, 18, 18, 14, 14, 14, 12, 10, 16, 14, 10, 10, 10, 12, 12, 8, 10, 12, 14, 18, 18, 16, 16, 18, 20, 16, 14, 14, 16, 12, 12, 12, 12, 12, 12, 12, 12, 8, 10, 10, 8, 8, 8, 8, 10, 10, 10, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
