Tablero inicial,Tamaño del tablero,Tablero solución,Número de conflicos,Cantidad de Movimientos,Tiempo (segundos),Historial de reinas amenazadas
"[3, 5, 5, 10, 6, 11, 11, 0, 2, 3, 9, 8]",12,"[1, 5, 7, 10, 6, 11, 2, 0, 6, 3, 9, 4]",4,4,"0,01695489883","[12, 10, 6, 4, 4]"
"[7, 4, 11, 10, 4, 6, 4, 5, 2, 9, 10, 7]",12,"[6, 4, 11, 1, 4, 6, 8, 5, 2, 0, 9, 7]",6,4,"0,01695418358","[18, 12, 8, 6, 6]"
"[0, 11, 2, 6, 8, 6, 14, 7, 14, 2, 14, 5, 14, 5, 13]",15,"[1, 11, 4, 6, 8, 12, 14, 7, 14, 2, 0, 5, 9, 11, 13]",6,5,"0,0478720665","[24, 18, 14, 10, 6, 6]"
"[6, 6, 3, 13, 8, 11, 7, 3, 10, 8, 5, 6, 6, 0, 11]",15,"[6, 0, 7, 13, 8, 14, 7, 3, 10, 2, 5, 9, 12, 1, 11]",2,7,"0,06382918358","[22, 16, 10, 8, 6, 4, 2, 2]"
"[5, 0, 9, 12, 9, 0, 10, 1, 3, 1, 9, 5, 5, 8, 10]",15,"[2, 8, 5, 12, 0, 13, 10, 1, 3, 1, 9, 11, 5, 14, 0]",6,7,"0,06283211708","[28, 22, 16, 12, 10, 8, 6, 6]"
"[10, 5, 11, 6, 1, 10, 9, 0, 11, 4, 2, 1, 8, 7, 4]",15,"[10, 5, 11, 6, 1, 12, 9, 0, 3, 14, 2, 13, 10, 7, 4]",4,5,"0,04787182808","[18, 12, 8, 6, 4, 4]"
"[9, 14, 1, 8, 11, 9, 8, 14, 13, 10, 1, 7, 9, 0, 11]",15,"[4, 14, 1, 9, 12, 3, 8, 2, 13, 10, 13, 7, 5, 0, 11]",2,7,"0,06283187866","[22, 16, 10, 8, 6, 4, 2, 2]"
"[14, 9, 7, 2, 12, 5, 4, 1, 3, 9, 7, 10, 14, 13, 0]",15,"[6, 11, 13, 4, 12, 8, 4, 1, 3, 9, 7, 10, 14, 6, 0]",4,5,"0,0478720665","[18, 12, 8, 6, 4, 4]"
"[6, 3, 5, 10, 4, 7, 5, 1, 1, 11, 1, 13, 4, 7, 9]",15,"[6, 3, 10, 10, 14, 14, 5, 8, 1, 12, 0, 13, 4, 7, 9]",6,5,"0,04886937141","[24, 16, 12, 8, 6, 6]"
"[2, 9, 1, 5, 4, 9, 7, 14, 2, 7, 6, 0, 14, 5, 13]",15,"[2, 9, 1, 12, 4, 9, 7, 14, 11, 3, 6, 0, 10, 5, 11]",4,4,"0,03989338875","[16, 12, 8, 4, 4]"
"[10, 7, 13, 9, 8, 9, 5, 6, 0, 10, 6, 7, 6, 14, 11]",15,"[10, 3, 13, 9, 8, 12, 5, 2, 0, 7, 4, 7, 1, 14, 11]",4,6,"0,05485343933","[22, 16, 12, 8, 6, 4, 4]"
"[1, 11, 8, 2, 9, 7, 14, 13, 1, 7, 9, 4, 3, 5, 14]",15,"[1, 10, 12, 2, 9, 7, 0, 13, 11, 7, 14, 6, 3, 5, 11]",4,6,"0,05485296249","[16, 12, 10, 8, 6, 4, 4]"
"[11, 5, 6, 3, 1, 4, 6, 3, 9, 10, 12, 11, 7, 12, 10]",15,"[11, 5, 0, 13, 1, 4, 6, 3, 9, 14, 12, 2, 7, 8, 1]",4,5,"0,04687452316","[22, 16, 10, 6, 4, 4]"
"[10, 4, 12, 12, 2, 0, 13, 14, 1, 9, 0, 14, 6, 3, 2]",15,"[4, 6, 10, 5, 2, 0, 13, 8, 1, 9, 7, 14, 11, 3, 10]",2,9,"0,07878923416","[18, 16, 14, 12, 10, 8, 6, 4, 2, 2]"
"[4, 9, 1, 14, 10, 6, 14, 12, 6, 11, 8, 10, 0, 6, 2]",15,"[4, 9, 1, 12, 10, 6, 2, 12, 5, 11, 8, 14, 0, 13, 7]",2,6,"0,05585050583","[16, 12, 8, 6, 4, 2, 2]"
"[10, 14, 0, 12, 1, 2, 0, 9, 1, 14, 11, 10, 12, 11, 10]",15,"[10, 0, 6, 12, 7, 2, 0, 9, 1, 4, 11, 3, 8, 13, 5]",2,7,"0,06283211708","[22, 18, 14, 10, 6, 4, 2, 2]"
"[10, 1, 0, 2, 1, 4, 1, 11, 6, 12, 5, 2, 1, 13, 3]",15,"[10, 7, 14, 8, 1, 4, 0, 11, 6, 12, 5, 2, 8, 13, 3]",2,5,"0,0478720665","[20, 12, 8, 6, 2, 2]"
"[2, 9, 12, 9, 14, 0, 10, 8, 0, 13, 7, 9, 8, 10, 11]",15,"[2, 9, 5, 3, 14, 0, 4, 8, 0, 13, 7, 10, 1, 6, 11]",6,6,"0,05485343933","[18, 14, 12, 10, 8, 6, 6]"
"[4, 2, 8, 3, 1, 2, 5, 9, 5, 0, 10, 11, 1, 2, 9]",15,"[4, 11, 8, 3, 1, 12, 5, 9, 6, 0, 10, 7, 13, 2, 9]",4,5,"0,0478720665","[20, 14, 10, 8, 4, 4]"
"[3, 5, 9, 13, 9, 4, 6, 11, 2, 13, 7, 11, 0, 14, 2]",15,"[14, 5, 0, 13, 9, 4, 1, 8, 2, 12, 7, 11, 0, 6, 10]",2,6,"0,05585026741","[18, 12, 8, 6, 4, 2, 2]"
"[11, 2, 13, 2, 2, 7, 6, 1, 5, 0, 14, 13, 6, 3, 0]",15,"[0, 9, 13, 4, 2, 7, 11, 1, 5, 12, 14, 8, 8, 3, 0]",6,6,"0,05485343933","[18, 14, 12, 10, 8, 6, 6]"
"[9, 4, 5, 0, 3, 7, 2, 8, 5, 13, 9, 13, 7, 12, 14]",15,"[9, 12, 10, 0, 3, 11, 2, 8, 6, 13, 1, 13, 7, 5, 14]",2,6,"0,05485343933","[16, 12, 8, 6, 4, 2, 2]"
"[10, 13, 4, 10, 10, 2, 13, 6, 4, 13, 6, 13, 0, 14, 0]",15,"[8, 1, 4, 12, 10, 2, 11, 6, 3, 13, 6, 9, 0, 14, 5]",2,7,"0,06382918358","[30, 22, 16, 10, 6, 4, 2, 2]"
"[3, 0, 4, 11, 5, 13, 11, 0, 9, 1, 13, 11, 8, 14, 6]",15,"[3, 7, 4, 10, 5, 13, 11, 0, 7, 1, 1, 6, 8, 14, 12]",8,5,"0,0478720665","[20, 16, 12, 10, 8, 8]"
"[10, 13, 7, 11, 0, 13, 2, 2, 4, 4, 1, 7, 11, 3, 12]",15,"[10, 5, 7, 11, 0, 2, 6, 13, 9, 4, 1, 14, 11, 3, 12]",2,6,"0,05983996391","[22, 16, 12, 8, 6, 2, 2]"
"[4, 2, 7, 7, 1, 3, 8, 9, 8, 6, 6, 6, 2, 10, 11]",15,"[4, 2, 7, 9, 14, 3, 13, 0, 8, 12, 1, 6, 2, 10, 13]",4,6,"0,07779240608","[26, 20, 16, 12, 8, 4, 4]"
"[10, 1, 5, 14, 1, 10, 13, 9, 10, 5, 4, 11, 8, 3, 1]",15,"[12, 2, 5, 14, 1, 10, 13, 9, 0, 4, 14, 11, 8, 3, 7]",4,5,"0,04787158966","[20, 14, 10, 6, 4, 4]"
